Profil,Diplôme,Métier,Années d'expérience,Objectifs,Notation,Évaluation,Description de la personnalité,Université d'études,Parcours Professionnel,Historiques d'interaction,Tarif horaire en euros,Langue parlée,Localisation,Disponibilité
Mentor,Licence en Marketing,Gestionnaire de campagnes,8,Gérer des campagnes publicitaires de grande envergure,4.0,Bien,Sociable et communicatif,Université de Bordeaux,"Nike, Procter & Gamble, McDonald's, Amazon Advertising",7,25.0,Anglais,Marseille,1
Mentor,Master en Ingénierie,Ingénieur électrique,20,Concevoir des produits mécaniques innovants,2.0,Passable,Analytique et organisé,Université de Bordeaux,"Siemens, Airbus",17,35.0,Français,Rennes,3
Mentor,Licence en Marketing,Analyste de marché,22,Gérer des campagnes publicitaires de grande envergure,5.0,Très bien,Créatif et innovant,Université de Toulouse,"Procter & Gamble, Amazon Advertising",1,15.0,Français,Lyon,1
Mentor,Certificat en Psychologie,Psychologue de l'enfance,6,Devenir psychologue clinicien renommé,5.0,Très bien,Sociable et communicatif,Université de Lyon,"Mayo Clinic, Cleveland Clinic, Massachusetts General Hospital, Stanford Health Care",10,25.0,Anglais,Lyon,2
Mentor,BTS en Ressources Humaines,Médiateur en conflits,18,Former le personnel dans de grandes organisations,5.0,Très bien,Sympathique et patient,Université de Lyon,"Kelly Services, ADP, ManpowerGroup, Adecco",12,35.0,Français,Lille,3
Mentor,Doctorat en Médecine,Médecin généraliste,21,Pratiquer la médecine pédiatrique,5.0,Très bien,Sociable et communicatif,Université de Marseille,Cleveland Clinic,8,25.0,Anglais,Paris,2
Mentor,Master en Marketing,Gestionnaire de campagnes,14,Gérer des campagnes publicitaires de grande envergure,4.0,Bien,Analytique et organisé,Université de Lyon,"Coca-Cola, Amazon Advertising, Nike, McDonald's, Procter & Gamble",7,25.0,Anglais,Rennes,3
Mentor,Doctorat en Psychologie,Psychologue scolaire,30,Faire de la recherche en psychologie,3.0,Moyen,Sympathique et patient,Université de Lyon,"Stanford Health Care, Mayo Clinic, Cleveland Clinic, Johns Hopkins Hospital, Massachusetts General Hospital",17,35.0,Français,Toulouse,1
Mentor,Licence en Informatique,Ingénieur en cybersécurité,25,Travailler en cybersécurité,5.0,Très bien,Analytique et organisé,Université de Marseille,"Apple, Amazon, Google, IBM, Microsoft",20,35.0,Français,Lille,3
Mentor,Master en Informatique,Data scientist,27,Travailler en cybersécurité,3.0,Moyen,Analytique et organisé,Université de Marseille,"Google, Microsoft, Amazon, IBM",9,25.0,Anglais,Rennes,2
Mentor,Certificat en Ingénierie,Ingénieur mécanique,25,Concevoir des produits mécaniques innovants,2.0,Passable,Dynamique et enthousiaste,Université de Bordeaux,"General Electric, Airbus, Lockheed Martin, Siemens",11,35.0,Anglais,Bordeaux,3
Mentor,Pharmacie,Chirurgien,14,Pratiquer la médecine pédiatrique,5.0,Très bien,Sociable et communicatif,Université de Bordeaux,"Massachusetts General Hospital, Johns Hopkins Hospital, Cleveland Clinic",0,15.0,Anglais,Montpellier,2
Mentor,Certificat en Peinture,Sculpteur,12,Devenir artiste renommé,1.0,Médiocre,Créatif et innovant,Université de Paris,"Saatchi Gallery, Sotheby's, The Louvre",5,25.0,Anglais,Paris,3
Mentor,BTS en Finance,Trader,28,Gérer des portefeuilles d'investissement complexes,5.0,Très bien,Analytique et organisé,Université de Lyon,"Bank of America, Goldman Sachs, Morgan Stanley",11,35.0,Français,Montpellier,1
Mentor,Master en Marketing,Responsable marketing,14,Gérer des campagnes publicitaires de grande envergure,5.0,Très bien,Dynamique et enthousiaste,Université de Toulouse,"McDonald's, Nike, Amazon Advertising, Coca-Cola, Procter & Gamble",10,25.0,Français,Montpellier,1
Mentor,Master en Gestion,Chef de projet,13,Devenir directeur général d'une grande entreprise,3.0,Moyen,Créatif et innovant,Université de Marseille,"McKinsey & Company, Deloitte, PwC, Bain & Company",6,25.0,Français,Marseille,2
Mentor,Licence en Marketing,Analyste de marché,30,Devenir responsable marketing stratégique,3.0,Moyen,Sociable et communicatif,Université de Marseille,Amazon Advertising,4,15.0,Anglais,Strasbourg,1
Mentor,BTS en Marketing,Responsable marketing,9,Devenir responsable marketing stratégique,5.0,Très bien,Créatif et innovant,Université de Toulouse,Amazon Advertising,20,35.0,Anglais,Montpellier,2
Mentor,Doctorat en Finance,Comptable,9,Devenir analyste financier senior,5.0,Très bien,Créatif et innovant,Université de Marseille,"Bank of America, JPMorgan Chase, Goldman Sachs",9,25.0,Anglais,Nantes,3
Mentor,Certificat en Ingénierie,Ingénieur mécanique,15,Devenir ingénieur de renom,3.0,Moyen,Analytique et organisé,Université de Paris,"Lockheed Martin, Airbus, Siemens, Boeing, General Electric",10,25.0,Français,Bordeaux,2
Mentor,Licence en Sciences de l'Éducation,Psychopédagogue,13,Améliorer les méthodes d'enseignement,3.0,Moyen,Sympathique et patient,Université de Toulouse,"Oxford University, University of Cambridge",19,35.0,Anglais,Lille,3
Mentor,MBA en Gestion,Directeur général,26,Gérer des projets internationaux,4.0,Bien,Sociable et communicatif,Université de Lyon,"Boston Consulting Group, Deloitte, PwC, McKinsey & Company",8,25.0,Français,Strasbourg,1
Mentor,Master en Ingénierie,Ingénieur électrique,21,Devenir ingénieur de renom,1.0,Médiocre,Sympathique et patient,Université de Bordeaux,"Airbus, Siemens, Boeing",17,35.0,Français,Toulouse,2
Mentor,Doctorat en Gestion,Contrôleur financier,23,Devenir directeur général d'une grande entreprise,3.0,Moyen,Analytique et organisé,Université de Toulouse,"Bain & Company, McKinsey & Company",5,25.0,Français,Strasbourg,2
Mentor,Certificat en Ingénierie,Ingénieur électrique,7,Concevoir des produits mécaniques innovants,1.0,Médiocre,Analytique et organisé,Université de Marseille,"Siemens, Boeing, Airbus",14,35.0,Anglais,Rennes,2
Mentor,BTS en Finance,Gestionnaire de portefeuille,13,Gérer des portefeuilles d'investissement complexes,1.0,Médiocre,Sociable et communicatif,Université de Toulouse,JPMorgan Chase,14,35.0,Français,Rennes,3
Mentor,Ingénieur en Informatique,Data scientist,12,Créer des applications web,5.0,Très bien,Dynamique et enthousiaste,Université de Paris,"IBM, Amazon, Apple",20,35.0,Anglais,Nantes,3
Mentor,Master en Ressources Humaines,Médiateur en conflits,15,Former le personnel dans de grandes organisations,3.0,Moyen,Créatif et innovant,Université de Toulouse,"Adecco, Randstad, ADP, Kelly Services, ManpowerGroup",5,25.0,Français,Lille,3
Mentor,Doctorat en Éducation,Enseignant,23,Améliorer les méthodes d'enseignement,5.0,Très bien,Sympathique et patient,Université de Lyon,Stanford University,19,35.0,Français,Rennes,3
Mentor,Certificat en Ingénierie,Ingénieur civil,17,Concevoir des produits mécaniques innovants,2.0,Passable,Créatif et innovant,Université de Bordeaux,General Electric,9,25.0,Français,Rennes,3
Mentor,Certificat en Peinture,Artiste numérique,14,Travailler sur des projets de design graphique innovants,2.0,Passable,Sympathique et patient,Université de Paris,Gagosian Gallery,18,35.0,Français,Marseille,1
Mentor,Doctorat en Médecine,Chirurgien,23,Devenir spécialiste en chirurgie,5.0,Très bien,Analytique et organisé,Université de Bordeaux,"Johns Hopkins Hospital, Cleveland Clinic, Mayo Clinic, Stanford Health Care, Massachusetts General Hospital",18,35.0,Français,Bordeaux,1
Mentor,Doctorat en Ressources Humaines,Formateur,30,Devenir expert en gestion des talents,1.0,Médiocre,Dynamique et enthousiaste,Université de Lyon,Kelly Services,20,35.0,Anglais,Lille,3
Mentor,Diplôme en Sculpture,Sculpteur,11,Devenir artiste renommé,2.0,Passable,Créatif et innovant,Université de Marseille,"Christie's, The Louvre, Sotheby's, Gagosian Gallery",12,35.0,Anglais,Lyon,2
Mentor,BTS en Marketing,Gestionnaire de campagnes,27,Gérer des campagnes publicitaires de grande envergure,3.0,Moyen,Créatif et innovant,Université de Lyon,"Amazon Advertising, McDonald's, Procter & Gamble, Coca-Cola, Nike",4,15.0,Anglais,Rennes,1
Mentor,Licence en Gestion,Responsable des ressources humaines,12,Gérer des projets internationaux,2.0,Passable,Analytique et organisé,Université de Toulouse,PwC,7,25.0,Anglais,Lyon,1
Mentor,Certificat en Didactique,Éducateur spécialisé,27,Améliorer les méthodes d'enseignement,2.0,Passable,Analytique et organisé,Université de Lyon,"Oxford University, Harvard University, Massachusetts Institute of Technology, Stanford University, University of Cambridge",11,35.0,Anglais,Strasbourg,3
Mentor,Pharmacie,Pédiatre,27,Devenir spécialiste en chirurgie,2.0,Passable,Sympathique et patient,Université de Paris,"Johns Hopkins Hospital, Massachusetts General Hospital, Mayo Clinic, Cleveland Clinic, Stanford Health Care",13,35.0,Français,Nantes,1
Mentor,Master en Marketing,Chef de publicité,28,Devenir responsable marketing stratégique,1.0,Médiocre,Dynamique et enthousiaste,Université de Marseille,"Procter & Gamble, Nike, Coca-Cola, Amazon Advertising, McDonald's",15,35.0,Anglais,Rennes,3
Mentor,Doctorat en Ressources Humaines,Recruteur,28,Devenir expert en gestion des talents,1.0,Médiocre,Analytique et organisé,Université de Marseille,"Kelly Services, ManpowerGroup",9,25.0,Français,Toulouse,3
Mentor,Certificat en Marketing,Analyste de marché,26,Devenir responsable marketing stratégique,1.0,Médiocre,Sympathique et patient,Université de Marseille,Procter & Gamble,12,35.0,Français,Montpellier,3
Mentor,Certificat en Marketing,Gestionnaire de campagnes,27,Gérer des campagnes publicitaires de grande envergure,4.0,Bien,Créatif et innovant,Université de Marseille,Amazon Advertising,9,25.0,Anglais,Marseille,1
Mentor,Diplôme en Sculpture,Artiste,26,Travailler sur des projets de design graphique innovants,5.0,Très bien,Analytique et organisé,Université de Bordeaux,The Louvre,7,25.0,Français,Bordeaux,3
Mentor,Licence en Psychologie,Psychologue de l'enfance,21,Devenir psychologue clinicien renommé,3.0,Moyen,Sociable et communicatif,Université de Toulouse,"Massachusetts General Hospital, Cleveland Clinic, Stanford Health Care, Johns Hopkins Hospital",19,35.0,Anglais,Paris,3
Mentor,Master en Gestion,Contrôleur financier,25,Gérer des projets internationaux,5.0,Très bien,Sociable et communicatif,Université de Bordeaux,"Deloitte, McKinsey & Company, Bain & Company, Boston Consulting Group",5,25.0,Français,Montpellier,3
Mentor,Doctorat en Finance,Comptable,16,Gérer des portefeuilles d'investissement complexes,4.0,Bien,Créatif et innovant,Université de Bordeaux,"JPMorgan Chase, Citigroup, Bank of America, Morgan Stanley, Goldman Sachs",12,35.0,Anglais,Lyon,1
Mentor,Licence en Arts Plastiques,Sculpteur,11,Devenir artiste renommé,4.0,Bien,Analytique et organisé,Université de Bordeaux,"Saatchi Gallery, The Louvre",2,15.0,Anglais,Paris,2
Mentor,Certificat en Marketing,Gestionnaire de campagnes,28,Gérer des campagnes publicitaires de grande envergure,5.0,Très bien,Sympathique et patient,Université de Bordeaux,"McDonald's, Coca-Cola, Amazon Advertising",8,25.0,Français,Lille,1
Mentor,Master en Arts Numériques,Sculpteur,13,Devenir artiste renommé,3.0,Moyen,Créatif et innovant,Université de Toulouse,Sotheby's,11,35.0,Français,Strasbourg,3
Mentor,Doctorat en Informatique,Data scientist,6,Créer des applications web,2.0,Passable,Sympathique et patient,Université de Paris,IBM,16,35.0,Anglais,Bordeaux,2
Mentor,BTS en Informatique,Ingénieur en cybersécurité,9,Créer des applications web,1.0,Médiocre,Sympathique et patient,Université de Lyon,"Amazon, Microsoft, Google",0,15.0,Anglais,Marseille,1
Mentor,Doctorat en Finance,Gestionnaire de portefeuille,11,Devenir analyste financier senior,4.0,Bien,Analytique et organisé,Université de Toulouse,"Morgan Stanley, Citigroup, JPMorgan Chase",5,25.0,Anglais,Rennes,1
Mentor,Master en Ingénierie,Ingénieur électrique,24,Concevoir des produits mécaniques innovants,1.0,Médiocre,Analytique et organisé,Université de Toulouse,Airbus,15,35.0,Anglais,Rennes,1
Mentor,Certificat en Ressources Humaines,Médiateur en conflits,18,Devenir expert en gestion des talents,5.0,Très bien,Sympathique et patient,Université de Marseille,Randstad,0,15.0,Français,Montpellier,3
Mentor,DES en Médecine,Pédiatre,19,Pratiquer la médecine pédiatrique,4.0,Bien,Analytique et organisé,Université de Bordeaux,"Johns Hopkins Hospital, Massachusetts General Hospital, Cleveland Clinic, Stanford Health Care",5,25.0,Anglais,Montpellier,1
Mentor,Licence en Gestion,Chef de projet,13,Gérer des projets internationaux,3.0,Moyen,Dynamique et enthousiaste,Université de Bordeaux,"Deloitte, Bain & Company",10,25.0,Anglais,Montpellier,3
Mentor,BTS en Psychologie,Psychologue de l'enfance,10,Faire de la recherche en psychologie,5.0,Très bien,Créatif et innovant,Université de Paris,"Mayo Clinic, Cleveland Clinic, Johns Hopkins Hospital, Massachusetts General Hospital",7,25.0,Anglais,Nantes,2
Mentor,Doctorat en Éducation,Éducateur spécialisé,9,Devenir un enseignant émérite,3.0,Moyen,Dynamique et enthousiaste,Université de Paris,"University of Cambridge, Massachusetts Institute of Technology",10,25.0,Français,Lyon,2
Mentor,BTS en Design Graphique,Designer graphique,28,Devenir artiste renommé,3.0,Moyen,Analytique et organisé,Université de Marseille,"Christie's, Gagosian Gallery",14,35.0,Français,Montpellier,3
Mentor,DES en Médecine,Gynécologue,11,Pratiquer la médecine pédiatrique,3.0,Moyen,Analytique et organisé,Université de Paris,"Johns Hopkins Hospital, Mayo Clinic, Stanford Health Care",1,15.0,Français,Strasbourg,2
Mentor,Doctorat en Gestion,Chef de projet,15,Devenir directeur général d'une grande entreprise,5.0,Très bien,Sociable et communicatif,Université de Marseille,Bain & Company,7,25.0,Anglais,Toulouse,3
Mentor,MBA en Finance,Comptable,30,Gérer des portefeuilles d'investissement complexes,4.0,Bien,Créatif et innovant,Université de Bordeaux,"JPMorgan Chase, Bank of America, Goldman Sachs",18,35.0,Anglais,Paris,1
Mentor,Certificat en Didactique,Enseignant,30,Améliorer les méthodes d'enseignement,5.0,Très bien,Analytique et organisé,Université de Lyon,"Oxford University, Stanford University",15,35.0,Français,Lyon,2
Mentor,Master en Ingénierie,Ingénieur logiciel,17,Devenir ingénieur de renom,1.0,Médiocre,Sympathique et patient,Université de Toulouse,"Airbus, Boeing, Siemens, General Electric",1,15.0,Anglais,Nantes,3
Mentor,Licence en Psychologie,Psychologue scolaire,27,Faire de la recherche en psychologie,1.0,Médiocre,Analytique et organisé,Université de Marseille,"Stanford Health Care, Johns Hopkins Hospital",18,35.0,Français,Rennes,3
Mentor,MBA en Finance,Gestionnaire de portefeuille,16,Gérer des portefeuilles d'investissement complexes,2.0,Passable,Sociable et communicatif,Université de Paris,"Citigroup, Morgan Stanley, Goldman Sachs, JPMorgan Chase, Bank of America",16,35.0,Anglais,Nantes,3
Mentor,Ingénieur en Informatique,Développeur web,23,Créer des applications web,3.0,Moyen,Créatif et innovant,Université de Toulouse,"Apple, Google",2,15.0,Français,Paris,1
Mentor,MBA en Gestion,Contrôleur financier,19,Gérer des projets internationaux,3.0,Moyen,Créatif et innovant,Université de Bordeaux,"Bain & Company, McKinsey & Company, Deloitte, PwC",7,25.0,Anglais,Nantes,2
Mentor,Doctorat en Informatique,Développeur web,7,Créer des applications web,2.0,Passable,Dynamique et enthousiaste,Université de Lyon,Microsoft,4,15.0,Anglais,Toulouse,3
Mentor,Licence en Finance,Trader,5,Devenir analyste financier senior,4.0,Bien,Analytique et organisé,Université de Marseille,"Bank of America, JPMorgan Chase, Morgan Stanley",20,35.0,Anglais,Strasbourg,3
Mentor,DFASM en Médecine,Chirurgien,18,Pratiquer la médecine pédiatrique,2.0,Passable,Créatif et innovant,Université de Toulouse,"Massachusetts General Hospital, Cleveland Clinic, Mayo Clinic, Johns Hopkins Hospital",15,35.0,Français,Bordeaux,1
Mentor,Master en Finance,Comptable,10,Devenir analyste financier senior,5.0,Très bien,Analytique et organisé,Université de Lyon,"Goldman Sachs, Citigroup",15,35.0,Français,Lille,3
Mentor,Licence en Sciences de l'Éducation,Psychopédagogue,29,Devenir un enseignant émérite,3.0,Moyen,Sociable et communicatif,Université de Marseille,"Stanford University, Massachusetts Institute of Technology, Harvard University, University of Cambridge",1,15.0,Anglais,Montpellier,2
Mentor,Licence en Finance,Gestionnaire de portefeuille,10,Devenir analyste financier senior,1.0,Médiocre,Dynamique et enthousiaste,Université de Toulouse,"Citigroup, Morgan Stanley, Goldman Sachs",2,15.0,Français,Montpellier,1
Mentor,Master en Ingénierie,Ingénieur civil,11,Concevoir des produits mécaniques innovants,3.0,Moyen,Analytique et organisé,Université de Marseille,"Lockheed Martin, General Electric",18,35.0,Français,Montpellier,2
Mentor,Master en Psychologie,Conseiller en orientation,17,Devenir psychologue clinicien renommé,5.0,Très bien,Créatif et innovant,Université de Toulouse,"Massachusetts General Hospital, Mayo Clinic",12,35.0,Anglais,Strasbourg,2
Mentor,Pharmacie,Médecin généraliste,26,Devenir spécialiste en chirurgie,2.0,Passable,Sympathique et patient,Université de Lyon,"Cleveland Clinic, Massachusetts General Hospital, Mayo Clinic",19,35.0,Français,Toulouse,3
Mentor,Diplôme en Sculpture,Designer graphique,20,Travailler sur des projets de design graphique innovants,2.0,Passable,Créatif et innovant,Université de Bordeaux,"Christie's, Gagosian Gallery, Saatchi Gallery, Sotheby's",7,25.0,Français,Strasbourg,3
Mentor,Certificat en Ingénierie,Ingénieur civil,27,Devenir ingénieur de renom,5.0,Très bien,Dynamique et enthousiaste,Université de Marseille,"Lockheed Martin, Airbus, Siemens, Boeing",4,15.0,Anglais,Lille,3
Mentor,BTS en Informatique,Ingénieur en cybersécurité,16,Créer des applications web,5.0,Très bien,Sociable et communicatif,Université de Marseille,"Amazon, IBM",5,25.0,Anglais,Nantes,3
Mentor,Doctorat en Ressources Humaines,Responsable RH,21,Former le personnel dans de grandes organisations,1.0,Médiocre,Dynamique et enthousiaste,Université de Lyon,"Randstad, ManpowerGroup, ADP, Adecco",3,15.0,Français,Toulouse,2
Mentor,Pharmacie,Médecin généraliste,20,Devenir spécialiste en chirurgie,1.0,Médiocre,Sociable et communicatif,Université de Bordeaux,"Stanford Health Care, Cleveland Clinic, Mayo Clinic",16,35.0,Anglais,Montpellier,3
Mentor,Certificat en Psychologie,Conseiller en orientation,12,Devenir psychologue clinicien renommé,2.0,Passable,Sociable et communicatif,Université de Lyon,"Stanford Health Care, Johns Hopkins Hospital, Cleveland Clinic, Massachusetts General Hospital",10,25.0,Anglais,Toulouse,3
Mentor,Doctorat en Finance,Gestionnaire de portefeuille,16,Gérer des portefeuilles d'investissement complexes,4.0,Bien,Créatif et innovant,Université de Lyon,"Goldman Sachs, Citigroup, Morgan Stanley",15,35.0,Anglais,Bordeaux,2
Mentor,Doctorat en Éducation,Enseignant,24,Améliorer les méthodes d'enseignement,4.0,Bien,Sympathique et patient,Université de Lyon,"Oxford University, Stanford University, Harvard University, University of Cambridge, Massachusetts Institute of Technology",11,35.0,Français,Montpellier,1
Mentor,BTS en Informatique,Développeur web,20,Créer des applications web,3.0,Moyen,Analytique et organisé,Université de Paris,"IBM, Google, Microsoft",19,35.0,Français,Rennes,1
Mentor,Doctorat en Gestion,Contrôleur financier,25,Devenir directeur général d'une grande entreprise,1.0,Médiocre,Dynamique et enthousiaste,Université de Lyon,"PwC, Boston Consulting Group, Deloitte",19,35.0,Anglais,Bordeaux,1
Mentor,BTS en Gestion,Directeur général,5,Gérer des projets internationaux,1.0,Médiocre,Dynamique et enthousiaste,Université de Marseille,"Boston Consulting Group, Deloitte, McKinsey & Company, Bain & Company, PwC",1,15.0,Anglais,Paris,3
Mentor,Licence en Finance,Analyste financier,25,Devenir analyste financier senior,1.0,Médiocre,Sympathique et patient,Université de Lyon,"JPMorgan Chase, Citigroup, Bank of America, Goldman Sachs",12,35.0,Anglais,Lille,1
Mentor,Certificat en Ingénierie,Ingénieur civil,14,Concevoir des produits mécaniques innovants,2.0,Passable,Créatif et innovant,Université de Marseille,"Airbus, Boeing",19,35.0,Français,Paris,3
Mentor,Licence en Psychologie,Psychologue de l'enfance,17,Devenir psychologue clinicien renommé,1.0,Médiocre,Analytique et organisé,Université de Paris,"Johns Hopkins Hospital, Cleveland Clinic",2,15.0,Français,Marseille,2
Mentor,Licence en Psychologie,Psychologue scolaire,30,Devenir psychologue clinicien renommé,4.0,Bien,Sympathique et patient,Université de Lyon,"Stanford Health Care, Cleveland Clinic, Mayo Clinic, Massachusetts General Hospital, Johns Hopkins Hospital",2,15.0,Anglais,Paris,3
Mentor,Doctorat en Psychologie,Psychologue de l'enfance,16,Devenir psychologue clinicien renommé,5.0,Très bien,Créatif et innovant,Université de Paris,"Johns Hopkins Hospital, Mayo Clinic, Stanford Health Care",17,35.0,Français,Strasbourg,1
Mentor,BTS en Ressources Humaines,Médiateur en conflits,13,Former le personnel dans de grandes organisations,5.0,Très bien,Créatif et innovant,Université de Marseille,"Randstad, ManpowerGroup, ADP",8,25.0,Anglais,Strasbourg,3
Mentor,Certificat en Peinture,Artiste,29,Travailler sur des projets de design graphique innovants,3.0,Moyen,Dynamique et enthousiaste,Université de Marseille,"The Louvre, Sotheby's, Saatchi Gallery",13,35.0,Français,Montpellier,3
Mentor,Licence en Informatique,Ingénieur en cybersécurité,21,Créer des applications web,2.0,Passable,Dynamique et enthousiaste,Université de Paris,"Microsoft, Apple, IBM, Google, Amazon",7,25.0,Français,Rennes,3
Mentor,Doctorat en Marketing,Responsable marketing,8,Gérer des campagnes publicitaires de grande envergure,1.0,Médiocre,Créatif et innovant,Université de Bordeaux,"Coca-Cola, McDonald's",4,15.0,Anglais,Nantes,2
Mentor,Licence en Arts Plastiques,Artiste,30,Travailler sur des projets de design graphique innovants,3.0,Moyen,Sympathique et patient,Université de Marseille,"Saatchi Gallery, Gagosian Gallery, Sotheby's, The Louvre",15,35.0,Français,Rennes,3
Mentor,BTS en Finance,Gestionnaire de portefeuille,26,Gérer des portefeuilles d'investissement complexes,1.0,Médiocre,Dynamique et enthousiaste,Université de Toulouse,"Bank of America, Citigroup, Goldman Sachs, JPMorgan Chase",16,35.0,Anglais,Lille,2
Mentor,BTS en Psychologie,Psychologue scolaire,29,Devenir psychologue clinicien renommé,1.0,Médiocre,Analytique et organisé,Université de Bordeaux,Mayo Clinic,8,25.0,Anglais,Montpellier,1
Mentor,Licence en Informatique,Data scientist,28,Devenir expert en IA,2.0,Passable,Analytique et organisé,Université de Marseille,Google,1,15.0,Français,Strasbourg,3
Mentor,Certificat en Marketing,Gestionnaire de campagnes,18,Gérer des campagnes publicitaires de grande envergure,4.0,Bien,Analytique et organisé,Université de Bordeaux,"Procter & Gamble, Nike, Amazon Advertising, Coca-Cola",14,35.0,Anglais,Bordeaux,1
Mentor,Licence en Arts Plastiques,Artiste,23,Devenir artiste renommé,3.0,Moyen,Analytique et organisé,Université de Lyon,"Sotheby's, Saatchi Gallery",2,15.0,Anglais,Marseille,2
Mentor,Doctorat en Psychologie,Psychologue scolaire,15,Devenir psychologue clinicien renommé,5.0,Très bien,Analytique et organisé,Université de Toulouse,"Mayo Clinic, Cleveland Clinic, Massachusetts General Hospital, Stanford Health Care, Johns Hopkins Hospital",8,25.0,Français,Lille,2
Mentor,Master en Informatique,Développeur logiciel,17,Devenir expert en IA,5.0,Très bien,Analytique et organisé,Université de Marseille,"Microsoft, IBM, Google, Apple, Amazon",7,25.0,Français,Paris,1
Mentor,Internat en Médecine,Pédiatre,12,Devenir spécialiste en chirurgie,1.0,Médiocre,Sympathique et patient,Université de Paris,"Massachusetts General Hospital, Johns Hopkins Hospital, Mayo Clinic, Cleveland Clinic, Stanford Health Care",12,35.0,Français,Bordeaux,2
Mentor,Internat en Médecine,Chirurgien,18,Devenir spécialiste en chirurgie,4.0,Bien,Dynamique et enthousiaste,Université de Toulouse,"Massachusetts General Hospital, Johns Hopkins Hospital, Cleveland Clinic",4,15.0,Anglais,Nantes,2
Mentor,Licence en Arts Plastiques,Artiste numérique,30,Travailler sur des projets de design graphique innovants,2.0,Passable,Sympathique et patient,Université de Paris,Sotheby's,2,15.0,Français,Bordeaux,2
